127.0.0.1 - - [05/Apr/2019:13:56:33 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:56:35 +0530] "GET /JavaWebApplicationStepByStep/ HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:08 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:09 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:10 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:10 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:10 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:11 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:11 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:12 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:12 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:12 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:13 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:13:57:13 +0530] "GET /JavaWebApplicationStepByStep/login.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:18:36:03 +0530] "GET /JavaWebApplicationStepByStep/ HTTP/1.1" 404 1099
